data,kwota,kontrahent,opis
2020-03-11,"492000,00",Mosty Katowice Sp. z o.o.,"Porozumienie do umowy 302/2015: laczna wartosc czesci zaplaconej/rozliczonej po odstapieniu od pozycji 4-8; 21,05% wartosci umowy."
2015-07-14,"123000,00",Pracownia Urbanistyczna Alter Polis,Umowa nr 332/2015-I/PU/106/15: koncepcja poprawy skomunikowania transportem publicznym dzielnicy Piecki Migowo oraz rejonu Akademii Medycznej z centrum Wrzeszcza; wartosc brutto.
2021-04-02,"4880640,00",Konsorcjum BPBK S.A. w restrukturyzacji / INGEO Sp. z o.o.,Umowa nr 78/2021-BZP-UiG.512.18.2021: opracowanie dokumentacji projektowej wraz z pelnieniem nadzoru autorskiego dla budowy ulicy Nowej Politechnicznej (GPW) w Gdansku; pierwotna wartosc brutto.
2022-11-22,"1004400,00",Konsorcjum BPBK S.A. w restrukturyzacji / INGEO Sp. z o.o.,Aneks nr 2 do umowy 78/2021: zwiekszenie wynagrodzenia brutto z uwagi na koniecznosc wykonania prac dodatkowych niezbednych do prawidlowego wykonania przedmiotu umowy.
2024-11-13,"488064,00",Konsorcjum BPBK S.A. w restrukturyzacji / INGEO Sp. z o.o.,Aneks nr 7 do umowy 78/2021: zwiekszenie wynagrodzenia brutto z tytulu waloryzacji kosztow i inflacji.
2025-01-23,"130749,00",Konsorcjum BPBK S.A. w restrukturyzacji / INGEO Sp. z o.o.,Aneks nr 8 do umowy 78/2021: zwiekszenie wynagrodzenia brutto w zwiazku z dodatkowymi pracami dotyczacymi nowych rozwiazan wysokosciowych peronow.
2024-03-01,"72816,00",International Management Services Sp. z o.o.,Rejestr wydatkow miasta Gdanska; umowa RWB-W/1044/WPI/7/U-W.BIEZ./2024; Wydzial Projektow Inwestycyjnych; opracowanie dokumentacji aplikacyjnej wraz ze wsparciem merytorycznym dla projektu Gdanski Projekt Komunikacji Miejskiej etap VA - budowa linii tramwajowej Gdansk Poludnie Wrzeszcz (GPW).
2015-09-07,"770,00","Przedsiebiorstwo Turystyczne ""Roma"" Sp. z o.o.",Rejestr wydatkow miasta Gdanska; umowa RWB-W/4325/KP/306/U-W.BIEZ./2015; Kancelaria Prezydenta; poczestunek podczas prezentacji koncepcji Nowa Politechniczna.
2015-09-07,"344,40",Pomorska Specjalna Strefa Ekonomiczna Sp. z o.o.,Rejestr wydatkow miasta Gdanska; umowa RWB-W/4324/KP/305/U-W.BIEZ./2015; Kancelaria Prezydenta; wynajem sali na prezentacje koncepcji Nowa Politechniczna.
2026-08-04,"50000,00","Towarzystwo Ubezpieczen i Reasekuracji ""Warta"" S.A.",Rejestr umow gov.pl; umowa nr 207/2026-L/PU.511.70.2026/MN; id bea094d2-fc10-43b7-9204-80a75dc15362; jednostka publikujaca: Dyrekcja Rozbudowy Miasta Gdanska; status: Aktywna; ubezpieczenie OC Projektanta/Architekta dla zadania Budowa przejscia przy Teatrze Miniatura w formule zaprojektuj i wybuduj w ramach zamierzenia inwestycyjnego Gdanski Projekt Komunikacji Miejskiej etap VA - budowa linii tramwajowej Gdansk Poludnie Wrzeszcz.
